date,state,longitude,latitude,row,col
2010-01-01,"KOTKA HAAPASAARI, FI",27.1833333,60.2833333,1090,854
2010-01-01,"HALLI, FI",24.7866,61.85605,915,587
2010-01-01,"VAALA PELSO, FI",26.4402778,64.5,620,771
2010-01-01,"HELSINKI MALMI, FI",25.042828,60.254558,1093,615
2010-01-01,"PYHAJARVI OL OJAKYLA, FI",25.7,63.7333333,706,688
2010-01-01,"JOKIOINEN, FI",23.5,60.8166666,1030,444
2010-01-01,"HAAPAVEST MUSTIKKAMAKI, FI",25.4166666,64.15,659,657
2010-01-01,"JYVASKYLA, FI",25.678253,62.399453,854,686
2010-01-01,"INARI NELLIM, FI",28.3,68.85,136,978
2010-01-01,"KILPISJARVI SAANA, FI",20.85,69.05,114,149
2010-01-01,"SAVONLINNA, FI",28.945136,61.943064,905,1050
2010-01-01,"SODANKYLA, FI",26.619133,67.395033,298,791
2010-01-01,"KUUSAMO, FI",29.239381,65.987575,455,1082
2010-01-01,"OULU VIHREASAARI HARBOUR, FI",25.4,65.0,565,655
2010-01-01,"HALSUA KANALA PUROLA, FI",24.45,63.45,737,549
2010-01-01,"VIROLAHTI KOIVUNIEMI, FI",27.6666666,60.5333333,1062,907
2010-01-01,"VESANTO SONKARI, FI",26.4166666,62.9166666,797,768
2010-01-01,"ALAJARVI MOKSY, FI",24.2666666,63.0833333,778,529
2010-01-01,"KOKEMAKI PEIPOHJA HYRKOLA, FI",22.25,61.2666666,980,304
2010-01-01,"PARAINEN FAGERHOLM, FI",21.7,60.1166666,1108,243
2010-01-01,"LAPPEENRANTA KONNUNSUO, FI",28.5666666,61.0333333,1006,1008
2010-01-01,"VIHTI MAASOJA, FI",24.4,60.4166666,1075,544
2010-01-01,"TAMPERE PIRKKALA, FI",23.604392,61.414147,964,455
2010-01-01,"TURKU RAJAKARI, FI",22.1,60.3833333,1079,288
2010-01-01,"ILOMANTSI MEKRIJARVI, FI",30.9833333,62.7666666,813,1277
2010-01-01,"SAVUKOSKI KK, FI",28.1833333,67.2833333,311,965
2010-01-01,"KOTKA RANKKI, FI",26.9666666,60.3833333,1079,829
2010-01-01,"PUUMALA KK, FI",28.2,61.5333333,951,967
2010-01-01,"KUUSAMO RUKATUNTURI, FI",29.15,66.1666666,435,1072
2010-01-01,"KUMLINGE KK, FI",20.75,60.25,1094,137
2010-01-01,"RAAHE LAPALUOTO HARBOUR, FI",24.4,64.6666666,602,544
2010-01-01,"VAASA, FI",21.762175,63.05065,782,250
2010-01-01,"JUUKA NIEMELA, FI",29.2333333,63.2333333,761,1082
2010-01-01,"SODANKYLA KOKKA, FI",27.75,67.8166666,251,917
2010-01-01,"INARI VAYLA, FI",27.5,69.0666666,112,889
2010-01-01,"KUUSAMO KIUTAKONGAS, FI",29.3166666,66.3666666,413,1091
2010-01-01,"KAUHAVA, FI",23.051442,63.127078,773,394
2010-01-01,"KEMI TORNIO, FI",24.5991,65.781889,478,566
2012-01-01,"VAASA KLEMETTILA, FI",21.6394444,63.1,776,236
2012-06-18,"KUOPIO SAVILAHTI, FI",27.6333333,62.9,799,904
2012-01-01,"PORI RAILWAY STATION, FI",21.7833333,61.4833333,956,252
2012-06-18,"KOKEMAKI TULKKILA, FI",22.35,61.25,982,315
2012-06-18,"HELSINKI RAILWAY STATION SQ, FI",24.95,60.1666666,1103,605
2012-06-18,"JAMSA HALLI LENTOASEMANTIE, FI",24.8166666,61.8666666,914,590
2012-06-18,"NURMIJARVI GEOPHSICAL OBSERVATORY, FI",24.65,60.5166666,1064,572
2012-01-01,"OULU OULUNSALO PELLONPAA, FI",25.3666666,64.9333333,572,651
2012-06-18,"ILOMANTSI POTSONVAARA, FI",31.05,63.15,771,1284
2012-06-18,"KOTKA KIRKONMAA, FI",27.05,60.3833333,1079,839
2012-06-18,"HELSINKI LIGHTHOUSE, FI",24.9333333,59.95,1127,603
2012-06-18,"LAPPEENRANTA LEPOLA, FI",28.2166666,61.05,1004,969
2013-08-05,"KEMIONSAARI KEMIO, FI",22.75,60.1666666,1103,360
2013-08-05,"MULTIA KARHILA, FI",24.8,62.5166666,841,588
2013-08-05,"KAJAANI PETAISENNISKA, FI",27.75,64.2166666,652,917
2013-08-05,"KOKKOLA HOLLIHAKA, FI",23.1166666,63.85,693,401
2013-08-05,"PUOLANKA PALJAKKA, FI",28.05,64.6666666,602,950
2013-08-05,"TAMPERE SATAKUNNANKATU, FI",23.7666666,61.5,954,473
2013-08-05,"INARI ANGELI LINTUPUOLISELKA, FI",25.7333333,68.9,131,692
2013-08-05,"SOMERO SALKOLA, FI",23.8,60.65,1049,477
2013-08-05,"VARKAUS KOLSUANNIEMI, FI",27.9,62.3166666,863,933
2013-08-05,"KITTILA KK, FI",24.9,67.65,270,599
2013-08-05,"LAPPEENRANTA HIEKKAPAKKA, FI",28.4666666,61.2,988,996
2013-08-05,"PUUMALA KK URHEILUKENTTA, FI",28.1833333,61.5166666,952,965
2013-08-05,"UTSJOKI KEVO KEVOJARVI, FI",27.0166666,69.75,36,835
2013-08-05,"INARI KIRAKKAJARVI, FI",28.9,69.5833333,55,1045
2013-08-05,"KITTILA MATOROVA, FI",24.2333333,68.0,231,525
2013-08-05,"HELSINKI KUMPULA, FI",24.9666666,60.2,1099,607
2013-08-05,"KARVIA ALKKIA, FI",22.8,62.1833333,878,366
2013-08-05,"JOENSUU LINNUNLAHTI, FI",29.7166666,62.6,832,1136
2013-08-05,"HAMEENLINNA LAMMI EVO, FI",25.1333333,61.2166666,986,625
2013-08-05,"KASKINEN SALGRUND, FI",21.1833333,62.3333333,862,186
2013-08-05,"RANUA AIRFIELD, FI",26.3666666,65.9833333,455,763
2013-08-05,"KAUHAVA KK UUNIMAANTIE, FI",23.05,63.1166666,774,393
2013-08-05,"INARI SEITALAASSA, FI",27.75,69.05,114,917
2013-08-05,"TORNIO TORPPI, FI",24.1666666,65.85,470,518
2014-01-08,"KITTILA LOMPOLONVUOMA, FI",24.2166666,68.0,231,523
2014-01-08,"INARI KAAMANEN, FI",27.2666666,69.1333333,105,863
2014-01-08,"KUUSAMO RUKA TALVIJARVI, FI",29.1333333,66.1666666,435,1071
2015-02-16,"LUMPARLAND LANGNAS HARBOUR, FI",20.3,60.1166666,1108,87
2015-02-17,"ESPOO TAPIOLA, FI",24.7833333,60.1833333,1101,586
